,date,length,commonlength,maxder,dcar,speed,weight,load,curve,profile,type,twoways,exit,my_predict
1,1,56.0,58.0,19.0,1,57.0,3402.0,0.5471014492753623,0.0,0.0007,0,1.0,0.0,0.15422142666549155
2,1,60.0,62.0,25.0,1,72.0,4082.0,0.6526570048309179,0.0,0.0009,0,1.0,0.0,0.1526155421350514
3,1,60.0,64.0,4.0,1,15.0,4420.0,0.7342995169082127,0.001639344262295082,1.4663793103448243e-05,0,1.0,0.0,0.16634933141915187
4,1,66.0,68.0,63.0,21,67.0,5699.0,0.9180939833113746,0.00232558139534883,0.006,0,1.0,1.0,0.9936348973019241
5,1,59.0,61.0,45.0,1,61.0,4280.0,0.7180054040776223,0.0,0.0007,0,1.0,0.0,0.168046610504437
7,1,56.0,58.0,29.0,1,51.0,4514.0,0.8348861283643894,0.0016,0.0099,0,1.0,0.0,0.20349001705885725
8,1,70.0,72.0,59.0,11,45.0,5838.0,0.8753623188405797,0.0014097119072021733,1.4663793103448243e-05,0,1.0,1.0,0.8282067167285057
10,2,70.0,72.0,6.0,1,53.0,6465.0,1.005175983436853,0.0014097119072021733,1.4663793103448243e-05,0,1.0,0.0,0.1768255745252211
11,2,69.0,73.0,66.0,2,50.0,3040.0,0.3051879857172863,0.0014771048744460858,0.006,0,1.0,1.0,0.10047381294427866
12,2,58.0,61.0,39.0,1,72.0,3112.0,0.44427786106946526,0.000970873786407767,1.4663793103448243e-05,0,1.0,0.0,0.13020859349455988
13,2,69.0,71.0,55.0,1,53.0,6320.0,0.9941188825876917,0.0,0.0,0,1.0,0.0,0.17838448693429623
14,2,55.0,59.0,25.0,1,48.0,5155.0,1.0250329380764165,0.000980392156862745,1.4663793103448243e-05,0,1.0,0.0,0.2468333833932342
16,2,66.0,70.0,60.0,1,50.0,6078.0,1.0013175230566536,0.0,-0.0091,0,1.0,0.0,0.1920445670780549
18,3,75.0,77.0,72.0,2,74.0,6961.0,1.0117874396135267,0.0,-0.0005,0,1.0,0.0,0.20904240849396172
19,3,65.0,67.0,31.0,9,50.380132450331125,5880.0,0.9777034559643256,0.00142857142857142,0.0077,0,1.0,1.0,0.7682977855472939
20,3,70.0,72.0,4.0,1,75.0,6011.0,0.9111801242236026,0.0006211180124223603,0.0008,0,1.0,0.0,0.15766667267764412
22,3,80.0,82.0,26.0,1,54.0,3525.0,0.3052536231884058,0.0012658227848101266,-0.005,0,1.0,0.0,0.048516125429162234
23,3,64.0,67.0,54.0,6,38.0,5938.0,1.011322463768116,0.003194888178913738,-0.0078,0,1.0,1.0,0.5696991364592577
25,3,70.0,73.0,45.0,4,15.0,6318.0,0.9747412008281575,0.0,0.0047,0,1.0,1.0,0.35611944785468924
27,3,73.0,75.0,37.0,1,78.0,6946.0,1.0456621004566211,0.0,-0.0001,0,1.0,0.0,0.17421091773146632
29,4,69.0,72.0,52.0,1,76.0,6266.0,0.98277672757824,0.0015384615384615385,-0.0079,0,1.0,0.0,0.17599684232001184
30,4,72.0,76.0,61.0,1,51.0,5980.0,0.8703703703703705,0.0014097119072021733,0.0033,0,1.0,0.0,0.14253520542696932
31,4,45.0,47.0,13.0,8,55.0,2320.0,0.4138486312399356,0.0,-0.0049,0,1.0,1.0,0.7072175641922543
32,4,73.0,75.0,17.0,1,72.0,2390.0,0.1411554496724241,0.0014097119072021733,-0.0096,0,1.0,0.0,0.05031588445330954
33,4,74.0,76.0,31.0,1,78.0,3449.0,0.3421464943204074,0.0009416195856873823,1.4663793103448243e-05,0,1.0,0.0,0.06468916020672479
35,4,68.0,70.0,59.0,1,51.0,6298.0,1.0089514066496164,0.0,-0.0047,0,1.0,0.0,0.1855248618004891
36,5,71.0,74.0,25.0,1,56.0,5342.0,0.7570932843437437,0.0031746031746031746,-0.006,0,1.0,0.0,0.1263930289091638
37,5,68.0,72.0,49.0,1,59.0,5935.0,0.9315856777493607,0.001941747572815534,0.0096,0,1.0,0.0,0.16946199192689573
38,5,71.0,73.0,6.0,1,75.0,2839.0,0.24617268830373545,0.0015873015873015873,-0.0085,0,1.0,0.0,0.06342688038441283
39,5,70.0,72.0,21.0,1,72.5,4020.0,0.49896480331262943,0.0014097119072021733,1.4663793103448243e-05,0,1.0,0.0,0.0928333878007514
40,6,55.0,57.0,39.0,1,63.0,4986.0,0.9805006587615284,0.0,0.0081,0,1.0,0.0,0.23742900519283497
41,6,87.0,90.0,23.0,1,67.0,3983.0,0.33016824920872895,0.0,0.0,0,1.0,0.0,0.03842871115238199
42,6,77.0,81.0,77.0,1,70.0,1932.0,0.03030303030303033,0.0014285714285714286,1.4663793103448243e-05,0,1.0,0.0,0.03573265346919989
44,8,67.0,69.0,1.0,1,77.0,1754.0,0.04607397793640494,0.0015151515151515152,0.009,0,1.0,0.0,0.05717288366363002
45,8,68.0,72.0,21.0,1,37.0,6280.0,1.0051150895140666,0.003703703703703704,-0.0003,0,1.0,0.0,0.184701391780864
47,8,97.0,99.0,22.0,1,65.0,2638.0,0.06080980128492458,0.0009025270758122744,-0.0003,0,1.0,0.0,0.015154949564261277
49,9,80.0,84.0,8.0,1,50.0,7415.0,1.0099637681159421,0.0006802721088435374,1.4663793103448243e-05,0,1.0,0.0,0.14229303860498807
51,10,71.0,73.0,73.0,1,60.0,6310.0,0.9546846295162279,0.0006097560975609756,-0.0025,0,1.0,0.0,0.16251121473138086
52,10,70.0,72.0,6.0,2,31.0,6516.0,1.0157349896480332,0.0,0.0,0,1.0,0.0,0.23282567446243985
53,10,72.0,74.0,31.0,2,45.0,2678.0,0.20571658615136873,0.0,0.0,0,1.0,0.0,0.07829777780449645
54,11,62.0,64.0,43.0,1,67.0,4349.0,0.6832632071061244,0.0,0.0,0,1.0,0.0,0.14898881642860426
